ID,Species,Organization,Type,Source,No_Media
irsnb:17132,Oreophrynella cryptica,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:139184,Gastrotheca marsupiata,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
cas:herp:104235,Rana leptodactyla,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
mcz:herp:a-139552,Heleioporus eyrei,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:sua:15722,Ramanella sp.,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:170224,Centrolene tayrona,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
cas:herp:168627,Arthroleptides martiensseni,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
cas:sua:11453,Ischnocnema quixensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:164632,Centrolene prosoblepon,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:167004,Tepuihyla rodriguezi,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ces:f:2751,Mysticellus sp.,Centre for Ecological Science,Biological Specimen,User Created,2
KU:KUH:182373,Gastrotheca longipes,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:100116,Craugastor saltator,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
mcz:herp:a-30113,Eupemphix nattereri,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:156400,Tlalocohyla loquax,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
irsnb:17136,Oreophrynella huberi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:291623,Gastrotheca piperata,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
zrc:a&r:12528,Barbourula kalimantanensis,Zoological Research Collections,Biological Specimen,User Created,0
ku:kuh:289251,Anomaloglossus atopoglossus,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:247861,Ischnocnema randorum,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:292019,Ophryophryne microstoma,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
cas:herp:256867,Scotobleps gabonicus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:335710,Philautus petersi,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
ku:kuh:167350,Cochranella antisthenesi,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
ku:kuh:167241,Stefania scalae,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:76511,Lithobates clamitans,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
fmnh:pr:2510,Beelzebufo ampinga,Field Museum of Natural History (Geology) Fossil Herps Collection,Biological Specimen,User Created,2
KU:KUH:181070,Gastrotheca helenae,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:104548,Craugastor mexicanus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
uf:herp:100855,Eleutherodactylus antillensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
mcz:herp:a-137993,Werneria tandyi,MCZ Herpetology,Biological Specimen,iDigBio,2
irsnb:17135,Oreophrynella huberi,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
ku:kuh:181724,Gastrotheca griswoldi,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
ummz:herps:55559,Gastrotheca williamsoni,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
ku:kuh:182106,Hyloxalus fuliginosus,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:96807,Ischnocnema parva,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:219763,Epipedobates tricolor,KUBI Herpetology Collection,Biological Specimen,iDigBio,5
ummz:herps:115296,Exerodonta sumichrasti,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
cas:herp:260140,Petropedetes sp.,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:221613,Sachatamia ilex,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:152476,Nyctimantis rugiceps,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
uf:herp:111075,Probreviceps macrodactylus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
KU:KUH:221635,Gastrotheca guentheri,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
ucm:amphibian and reptile specimens:ucm:herp:67231,Craugastor tarahumaraensis,UCM Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:100854,Eleutherodactylus antillensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
amnh:herpetology:a-41823,Kassina sp.,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
rom:reptiles and amphibians:39647,Oreophrynella dendronastes,Herpetology Collection - Royal Ontario Museum,Biological Specimen,User Created,1
ku:kuh:196810,Gastrotheca rebeccae,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
tnhc:herpetology:59829,Limnonectes kuhlii,"University of Texas, Biodiversity Center, TNHC Herpetology Collection",Biological Specimen,iDigBio,3
ku:kuh:220984,Aromobates nocturnus,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
cas:herp:74601,Batrachophrynus macrostomus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ku:kuh:219761,Epipedobates tricolor,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
cas:herp:230132,Pseudhymenochirus merlini,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
cas:herp:153715,Petropedetes palmipes,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
ku:kuh:211781,Rulyrana saxiscandens,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:191932,Chacophrys pierottii,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:107362,Acris gryllus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
KU:KUH:138652,Gastrotheca ochoai,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uta:uta-a:64262,Craugastor pygmaeus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:17096,Peltophryne peltocephala,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:62348,Pternohyla fodiens,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
cpi:10725,Oreophrynella macconnelli,Coastal Plains Institute,Biological Specimen,User Created,1
zsm:861/2014,Mini mum,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,1
uf:uf:10203,Lithobates sp.,FLMNH Division of Vertebrate Paleontology,Biological Specimen,iDigBio,2
ku:kuh:69708,Anomaloglossus beebei,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:342777,Rulyrana spiculata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
ku:kuh:76833,Silverstoneia nubicola,KUBI Herpetology Collection,Biological Specimen,iDigBio,5
cas:herp:154518,Leptopelis bocagii,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
ku:kuh:335721,Philautus petersi,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:340079,Amazophrynella bokermanni,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
uf:herp:64720,Conraua goliath,FLMNH Division of Herpetology,Biological Specimen,iDigBio,6
uf:herp:64907,Hyla chrysoscelis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
ua:9635,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
KU:KUH:196262,Gastrotheca microdiscus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uta:uta-a:55232,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
mnhn:ra:1974.397,Synapturanus mirandaribeiroi,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,iDigBio,2
uf:herp:137290,Smilisca phaeota,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
irsnb:14335,Oreophrynella macconnelli,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
rmnh:20246,Anodonthyla eximia,Naturalis Biodiversity Center (NL) - Amphibia and Reptilia,Biological Specimen,User Created,1
lsumz:herps:95004,Paedophryne amauensis,LSUMZ Herps Collection,Biological Specimen,iDigBio,2
ku:kuh:335688,Platypelis pollicaris,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:309722,Syncope sp.,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:340765,Blommersia blommersae,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
ummz:herps:152624,Hemiphractus kaylockae,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,3
ku:kuh:321598,Philautus worcesteri,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
mcz:herp:a-136887,Leptodactylodon axillaris,MCZ Herpetology,Biological Specimen,iDigBio,1
ku:kuh:31372,Ascaphus montanus,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ufmg:a:9658,Chiasmocleis mantiqueira,Coleção de Zoologia,Biological Specimen,User Created,0
fmnh:pr:1960,Beelzebufo ampinga,Field Museum of Natural History (Geology) Fossil Herps Collection,Biological Specimen,User Created,2
KU:KUH:193297,Gastrotheca pulchra,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:100114,Craugastor hobartsmithi,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
ku:kuh:129751,Hemiphractus scutatus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:98302,Trachycephalus jordani,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
irsnb:14334,Oreophrynella macconnelli,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
zsm:1826/2010,Rhombophryne proportionalis,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,1
zrc:a&r:12530,Barbourula kalimantanensis,Zoological Research Collections,Biological Specimen,User Created,0
ku:kuh:92273,Phrynomedusa fimbriata,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:160970,Ceratophrys stolzmanni,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ku:kuh:340736,Gephyromantis malagasius,KUBI Herpetology Collection,Biological Specimen,iDigBio,7
ummz:herps:152622,Hemiphractus elioti,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,3
cas:herp:258098,Nectophryne afra,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
mcz:herp:a-136890,Leptodactylodon axillaris,MCZ Herpetology,Biological Specimen,iDigBio,1
cas:herp:245473,Xenophrys major,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
uf:herp:110645,Gastrophryne carolinensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
ua:9622,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
KU:KUH:344795,Gastrotheca ovifera,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
uta:uta-a:55240,Craugastor omiltemanus,UTA Herpetology,Biological Specimen,iDigBio,1
uf:herp:39717,Telmatobius carrillae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
uf:herp:111243,Rana catesbeiana,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
irsnb:14364,Oreophrynella macconnelli,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
zsm:862/2014,Mini mum,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,1
ku:kuh:30404,Ecnomiohyla miliaria,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:146850,Itapotihyla langsdorffii,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:562071,Myersiohyla neblinaria,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ku:kuh:220284,Allobates femoralis,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
mcz:herp:a-136831,Leptodactylodon ovatus,MCZ Herpetology,Biological Specimen,iDigBio,2
cas:herp:71766,Rhinophrynus dorsalis,CAS Herpetology (HERP),Biological Specimen,iDigBio,5
mcz:herp:a-136548,Atelopus zeteki,MCZ Herpetology,Biological Specimen,iDigBio,1
ncsm:herp:77897,Rhacophorus feae,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:123473,Hyla cinerea,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
fmnh:pr:2499,Beelzebufo ampinga,Field Museum of Natural History (Geology) Fossil Herps Collection,Biological Specimen,User Created,2
FMNH:Amphibians and Reptiles:232873,Megophrys omeimontis,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:234680,Sabahphrynus maculatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
mcz:herp:a-25737,Pipa carvalhoi,MCZ Herpetology,Biological Specimen,iDigBio,1
mcz:herp:a-138315,Phrynobatrachus krefftii,MCZ Herpetology,Biological Specimen,iDigBio,2
irsnb:17137,Oreophrynella nigra,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
zmb:83194,Mini mum,"Museum für Naturkunde, Berlin",Biological Specimen,User Created,1
uf:herp:61435,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ku:kuh:182280,Phyllobates terribilis,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
fmnh:amphibians and reptiles:257900,Chirixalus sp.,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:253513,Leptopelis ocellatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:100692,Bombina orientalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
cas:herp:85287,Uperodon systoma,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:550148,Metaphryniscus sosae,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
ncsm:herp:77821,Odorrana chapaensis,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
mnhn:ra:1975.24,Rhombophryne serratopalpebrosa,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,User Created,2
ua:9958,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
FMNH:Amphibians and Reptiles:10567,Julianus uruguayus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:210463,Hylomantis lemur,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
uf:herp:190884,Osteopilus septentrionalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
uf:herp:27081,Osteocephalus taurinus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
irsnb:17138,Oreophrynella nigra,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
zmb:81993,Mini mum,"Museum für Naturkunde, Berlin",Biological Specimen,User Created,1
uf:herp:175547,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ku:kuh:87111,Hyla mixe,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
fmnh:amphibians and reptiles:24678,Rana livida,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:253625,Leptopelis nordequatorialis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:31308,Craugastor megacephalus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
cas:sua:11521,Spelaeophryne methneri,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
uf:herp:29244,Ingerophrynus biporcatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
ncsm:herp:76356,Amolops compotrix,NCSM Herpetology Collection,Biological Specimen,iDigBio,3
uf:herp:12347,Lepidobatrachus laevis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
ua:9951,Beelzebufo ampinga,Département de Paléontologie et Anthropologie Biologique,Biological Specimen,User Created,2
KU:KUH:166765,Gastrotheca walkeri,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:186009,Pelodytes ibericus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
uf:herp:178346,Engystomops pustulatus,FLMNH Division of Herpetology,Biological Specimen,User Created,0
uf:herp:71527,Pseudis paradoxa,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
irsnb:15732,Oreophrynella nigra,Institut Royal des Sciences Naturelles del Belgique,Biological Specimen,User Created,1
rmnh:20172,Mini mum,Naturalis Biodiversity Center (NL) - Amphibia and Reptilia,Biological Specimen,User Created,1
uf:herp:111136,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ku:kuh:174784,Somuncuria somuncurensis,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
fmnh:amphibians and reptiles:219880,Huia cavitympanum,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:201762,Arthroleptis schubotzi,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
mcz:herp:a-136832,Leptodactylodon ovatus,MCZ Herpetology,Biological Specimen,iDigBio,3
cas:herp:160084,Sooglossus sechellensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:248419,Bufo gargarizans,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
ncsm:herp:76061,Leptolalax aereus,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
uf:herp:39734,Telmatobius thompsoni,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
fmnh:pr:2507,Beelzebufo ampinga,Field Museum of Natural History (Geology) Fossil Herps Collection,Biological Specimen,User Created,2
USNM:Amphibians & Reptiles:499541,Mantidactylus opiparis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
mvz:amphibian and reptile specimens:mvz:herp:176320,Itapotihyla langsdorffii,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
